,continent,location,date,new_deaths,population
0,Asia,Afghanistan,2020-01-05,0.0,41128772.0
1,Asia,Afghanistan,2020-01-12,0.0,41128772.0
2,Asia,Afghanistan,2020-01-19,0.0,41128772.0
3,Asia,Afghanistan,2020-01-26,0.0,41128772.0
4,Asia,Afghanistan,2020-02-02,0.0,41128772.0
5,Asia,Afghanistan,2020-02-09,0.0,41128772.0
6,Asia,Afghanistan,2020-02-16,0.0,41128772.0
7,Asia,Afghanistan,2020-02-23,0.0,41128772.0
8,Asia,Afghanistan,2020-03-01,0.0,41128772.0
9,Asia,Afghanistan,2020-03-08,0.0,41128772.0
10,Asia,Afghanistan,2020-03-15,0.0,41128772.0
11,Asia,Afghanistan,2020-03-22,0.0,41128772.0
12,Asia,Afghanistan,2020-03-29,2.0,41128772.0
19,Asia,Afghanistan,2020-04-05,3.0,41128772.0
26,Asia,Afghanistan,2020-04-12,10.0,41128772.0
33,Asia,Afghanistan,2020-04-19,15.0,41128772.0
40,Asia,Afghanistan,2020-04-26,13.0,41128772.0
47,Asia,Afghanistan,2020-05-03,21.0,41128772.0
54,Asia,Afghanistan,2020-05-10,41.0,41128772.0
61,Asia,Afghanistan,2020-05-17,48.0,41128772.0
68,Asia,Afghanistan,2020-05-24,58.0,41128772.0
75,Asia,Afghanistan,2020-05-31,37.0,41128772.0
82,Asia,Afghanistan,2020-06-07,79.0,41128772.0
89,Asia,Afghanistan,2020-06-14,124.0,41128772.0
96,Asia,Afghanistan,2020-06-21,97.0,41128772.0
103,Asia,Afghanistan,2020-06-28,155.0,41128772.0
110,Asia,Afghanistan,2020-07-05,123.0,41128772.0
117,Asia,Afghanistan,2020-07-12,149.0,41128772.0
124,Asia,Afghanistan,2020-07-19,172.0,41128772.0
131,Asia,Afghanistan,2020-07-26,99.0,41128772.0
138,Asia,Afghanistan,2020-08-02,37.0,41128772.0
145,Asia,Afghanistan,2020-08-09,24.0,41128772.0
152,Asia,Afghanistan,2020-08-16,63.0,41128772.0
159,Asia,Afghanistan,2020-08-23,15.0,41128772.0
166,Asia,Afghanistan,2020-08-30,17.0,41128772.0
173,Asia,Afghanistan,2020-09-06,7.0,41128772.0
180,Asia,Afghanistan,2020-09-13,11.0,41128772.0
187,Asia,Afghanistan,2020-09-20,17.0,41128772.0
194,Asia,Afghanistan,2020-09-27,16.0,41128772.0
201,Asia,Afghanistan,2020-10-04,9.0,41128772.0
208,Asia,Afghanistan,2020-10-11,11.0,41128772.0
215,Asia,Afghanistan,2020-10-18,15.0,41128772.0
222,Asia,Afghanistan,2020-10-25,23.0,41128772.0
229,Asia,Afghanistan,2020-11-01,25.0,41128772.0
236,Asia,Afghanistan,2020-11-08,20.0,41128772.0
243,Asia,Afghanistan,2020-11-15,49.0,41128772.0
250,Asia,Afghanistan,2020-11-22,70.0,41128772.0
257,Asia,Afghanistan,2020-11-29,77.0,41128772.0
264,Asia,Afghanistan,2020-12-06,113.0,41128772.0
271,Asia,Afghanistan,2020-12-13,95.0,41128772.0
278,Asia,Afghanistan,2020-12-20,94.0,41128772.0
285,Asia,Afghanistan,2020-12-27,104.0,41128772.0
292,Asia,Afghanistan,2021-01-03,63.0,41128772.0
299,Asia,Afghanistan,2021-01-10,56.0,41128772.0
306,Asia,Afghanistan,2021-01-17,62.0,41128772.0
313,Asia,Afghanistan,2021-01-24,39.0,41128772.0
320,Asia,Afghanistan,2021-01-31,22.0,41128772.0
327,Asia,Afghanistan,2021-02-07,10.0,41128772.0
334,Asia,Afghanistan,2021-02-14,17.0,41128772.0
341,Asia,Afghanistan,2021-02-21,5.0,41128772.0
348,Asia,Afghanistan,2021-02-28,11.0,41128772.0
355,Asia,Afghanistan,2021-03-07,6.0,41128772.0
362,Asia,Afghanistan,2021-03-14,8.0,41128772.0
369,Asia,Afghanistan,2021-03-21,6.0,41128772.0
376,Asia,Afghanistan,2021-03-28,7.0,41128772.0
383,Asia,Afghanistan,2021-04-04,27.0,41128772.0
390,Asia,Afghanistan,2021-04-11,24.0,41128772.0
397,Asia,Afghanistan,2021-04-18,18.0,41128772.0
404,Asia,Afghanistan,2021-04-25,43.0,41128772.0
411,Asia,Afghanistan,2021-05-02,55.0,41128772.0
418,Asia,Afghanistan,2021-05-09,49.0,41128772.0
425,Asia,Afghanistan,2021-05-16,56.0,41128772.0
432,Asia,Afghanistan,2021-05-23,60.0,41128772.0
439,Asia,Afghanistan,2021-05-30,117.0,41128772.0
446,Asia,Afghanistan,2021-06-06,226.0,41128772.0
453,Asia,Afghanistan,2021-06-13,382.0,41128772.0
460,Asia,Afghanistan,2021-06-20,595.0,41128772.0
467,Asia,Afghanistan,2021-06-27,528.0,41128772.0
474,Asia,Afghanistan,2021-07-04,549.0,41128772.0
481,Asia,Afghanistan,2021-07-11,525.0,41128772.0
488,Asia,Afghanistan,2021-07-18,423.0,41128772.0
495,Asia,Afghanistan,2021-07-25,278.0,41128772.0
502,Asia,Afghanistan,2021-08-01,312.0,41128772.0
509,Asia,Afghanistan,2021-08-08,171.0,41128772.0
516,Asia,Afghanistan,2021-08-15,113.0,41128772.0
523,Asia,Afghanistan,2021-08-22,49.0,41128772.0
530,Asia,Afghanistan,2021-08-29,39.0,41128772.0
537,Asia,Afghanistan,2021-09-05,23.0,41128772.0
544,Asia,Afghanistan,2021-09-12,35.0,41128772.0
551,Asia,Afghanistan,2021-09-19,32.0,41128772.0
558,Asia,Afghanistan,2021-09-26,0.0,41128772.0
565,Asia,Afghanistan,2021-10-03,13.0,41128772.0
572,Asia,Afghanistan,2021-10-10,9.0,41128772.0
579,Asia,Afghanistan,2021-10-17,17.0,41128772.0
586,Asia,Afghanistan,2021-10-24,15.0,41128772.0
593,Asia,Afghanistan,2021-10-31,19.0,41128772.0
600,Asia,Afghanistan,2021-11-07,12.0,41128772.0
607,Asia,Afghanistan,2021-11-14,8.0,41128772.0
614,Asia,Afghanistan,2021-11-21,9.0,41128772.0
621,Asia,Afghanistan,2021-11-28,7.0,41128772.0
628,Asia,Afghanistan,2021-12-05,4.0,41128772.0
635,Asia,Afghanistan,2021-12-12,13.0,41128772.0
642,Asia,Afghanistan,2021-12-19,8.0,41128772.0
649,Asia,Afghanistan,2021-12-26,19.0,41128772.0
656,Asia,Afghanistan,2022-01-02,4.0,41128772.0
663,Asia,Afghanistan,2022-01-09,13.0,41128772.0
670,Asia,Afghanistan,2022-01-16,9.0,41128772.0
677,Asia,Afghanistan,2022-01-23,12.0,41128772.0
684,Asia,Afghanistan,2022-01-30,17.0,41128772.0
691,Asia,Afghanistan,2022-02-06,18.0,41128772.0
698,Asia,Afghanistan,2022-02-13,63.0,41128772.0
705,Asia,Afghanistan,2022-02-20,46.0,41128772.0
712,Asia,Afghanistan,2022-02-27,54.0,41128772.0
719,Asia,Afghanistan,2022-03-06,34.0,41128772.0
726,Asia,Afghanistan,2022-03-13,20.0,41128772.0
733,Asia,Afghanistan,2022-03-20,10.0,41128772.0
740,Asia,Afghanistan,2022-03-27,8.0,41128772.0
747,Asia,Afghanistan,2022-04-03,11.0,41128772.0
754,Asia,Afghanistan,2022-04-10,4.0,41128772.0
761,Asia,Afghanistan,2022-04-17,1.0,41128772.0
768,Asia,Afghanistan,2022-04-24,5.0,41128772.0
775,Asia,Afghanistan,2022-05-01,2.0,41128772.0
782,Asia,Afghanistan,2022-05-08,1.0,41128772.0
789,Asia,Afghanistan,2022-05-15,6.0,41128772.0
796,Asia,Afghanistan,2022-05-22,7.0,41128772.0
803,Asia,Afghanistan,2022-05-29,4.0,41128772.0
810,Asia,Afghanistan,2022-06-05,8.0,41128772.0
817,Asia,Afghanistan,2022-06-12,0.0,41128772.0
824,Asia,Afghanistan,2022-06-19,4.0,41128772.0
831,Asia,Afghanistan,2022-06-26,4.0,41128772.0
838,Asia,Afghanistan,2022-07-03,7.0,41128772.0
845,Asia,Afghanistan,2022-07-10,3.0,41128772.0
852,Asia,Afghanistan,2022-07-17,3.0,41128772.0
859,Asia,Afghanistan,2022-07-24,8.0,41128772.0
866,Asia,Afghanistan,2022-07-31,9.0,41128772.0
873,Asia,Afghanistan,2022-08-07,5.0,41128772.0
880,Asia,Afghanistan,2022-08-14,6.0,41128772.0
887,Asia,Afghanistan,2022-08-21,1.0,41128772.0
894,Asia,Afghanistan,2022-08-28,15.0,41128772.0
901,Asia,Afghanistan,2022-09-04,6.0,41128772.0
908,Asia,Afghanistan,2022-09-11,7.0,41128772.0
915,Asia,Afghanistan,2022-09-18,7.0,41128772.0
922,Asia,Afghanistan,2022-09-25,2.0,41128772.0
929,Asia,Afghanistan,2022-10-02,3.0,41128772.0
936,Asia,Afghanistan,2022-10-09,5.0,41128772.0
943,Asia,Afghanistan,2022-10-16,7.0,41128772.0
950,Asia,Afghanistan,2022-10-23,7.0,41128772.0
957,Asia,Afghanistan,2022-10-30,3.0,41128772.0
964,Asia,Afghanistan,2022-11-06,5.0,41128772.0
971,Asia,Afghanistan,2022-11-13,3.0,41128772.0
978,Asia,Afghanistan,2022-11-20,2.0,41128772.0
985,Asia,Afghanistan,2022-11-27,2.0,41128772.0
992,Asia,Afghanistan,2022-12-04,1.0,41128772.0
999,Asia,Afghanistan,2022-12-11,5.0,41128772.0
1006,Asia,Afghanistan,2022-12-18,5.0,41128772.0
1013,Asia,Afghanistan,2022-12-25,1.0,41128772.0
1020,Asia,Afghanistan,2023-01-01,4.0,41128772.0
1027,Asia,Afghanistan,2023-01-08,2.0,41128772.0
1034,Asia,Afghanistan,2023-01-15,4.0,41128772.0
1041,Asia,Afghanistan,2023-01-22,5.0,41128772.0
1048,Asia,Afghanistan,2023-01-29,6.0,41128772.0
1055,Asia,Afghanistan,2023-02-05,8.0,41128772.0
1062,Asia,Afghanistan,2023-02-12,3.0,41128772.0
1069,Asia,Afghanistan,2023-02-19,0.0,41128772.0
1076,Asia,Afghanistan,2023-02-26,1.0,41128772.0
1083,Asia,Afghanistan,2023-03-05,1.0,41128772.0
1090,Asia,Afghanistan,2023-03-12,1.0,41128772.0
1097,Asia,Afghanistan,2023-03-19,1.0,41128772.0
1104,Asia,Afghanistan,2023-03-26,1.0,41128772.0
1111,Asia,Afghanistan,2023-04-02,1.0,41128772.0
1118,Asia,Afghanistan,2023-04-09,1.0,41128772.0
1125,Asia,Afghanistan,2023-04-16,1.0,41128772.0
1132,Asia,Afghanistan,2023-04-23,2.0,41128772.0
1139,Asia,Afghanistan,2023-04-30,5.0,41128772.0
1146,Asia,Afghanistan,2023-05-07,5.0,41128772.0
1153,Asia,Afghanistan,2023-05-14,11.0,41128772.0
1160,Asia,Afghanistan,2023-05-21,5.0,41128772.0
1167,Asia,Afghanistan,2023-05-28,2.0,41128772.0
1174,Asia,Afghanistan,2023-06-04,4.0,41128772.0
1181,Asia,Afghanistan,2023-06-11,1.0,41128772.0
1188,Asia,Afghanistan,2023-06-18,2.0,41128772.0
1195,Asia,Afghanistan,2023-06-25,6.0,41128772.0
1202,Asia,Afghanistan,2023-07-02,0.0,41128772.0
1209,Asia,Afghanistan,2023-07-09,3.0,41128772.0
1216,Asia,Afghanistan,2023-07-16,1.0,41128772.0
1223,Asia,Afghanistan,2023-07-23,2.0,41128772.0
1230,Asia,Afghanistan,2023-07-30,1.0,41128772.0
1237,Asia,Afghanistan,2023-08-06,3.0,41128772.0
1244,Asia,Afghanistan,2023-08-13,2.0,41128772.0
1251,Asia,Afghanistan,2023-08-20,2.0,41128772.0
1258,Asia,Afghanistan,2023-08-27,0.0,41128772.0
1265,Asia,Afghanistan,2023-09-03,2.0,41128772.0
1272,Asia,Afghanistan,2023-09-10,2.0,41128772.0
1279,Asia,Afghanistan,2023-09-17,0.0,41128772.0
1286,Asia,Afghanistan,2023-09-24,1.0,41128772.0
1293,Asia,Afghanistan,2023-10-01,3.0,41128772.0
1300,Asia,Afghanistan,2023-10-08,1.0,41128772.0
1307,Asia,Afghanistan,2023-10-15,1.0,41128772.0
1314,Asia,Afghanistan,2023-10-22,0.0,41128772.0
1321,Asia,Afghanistan,2023-10-29,1.0,41128772.0
1328,Asia,Afghanistan,2023-11-05,3.0,41128772.0
1335,Asia,Afghanistan,2023-11-12,4.0,41128772.0
1342,Asia,Afghanistan,2023-11-19,1.0,41128772.0
1349,Asia,Afghanistan,2023-11-26,2.0,41128772.0
1350,Asia,Afghanistan,2023-12-03,2.0,41128772.0
1351,Asia,Afghanistan,2023-12-10,0.0,41128772.0
1352,Asia,Afghanistan,2023-12-17,1.0,41128772.0
1353,Asia,Afghanistan,2023-12-24,4.0,41128772.0
1354,Asia,Afghanistan,2023-12-31,3.0,41128772.0
2459,Europe,Albania,2020-01-05,0.0,2842318.0
2460,Europe,Albania,2020-01-12,0.0,2842318.0
2461,Europe,Albania,2020-01-19,0.0,2842318.0
2462,Europe,Albania,2020-01-26,0.0,2842318.0
2463,Europe,Albania,2020-02-02,0.0,2842318.0
2464,Europe,Albania,2020-02-09,0.0,2842318.0
2465,Europe,Albania,2020-02-16,0.0,2842318.0
2466,Europe,Albania,2020-02-23,0.0,2842318.0
2472,Europe,Albania,2020-03-01,0.0,2842318.0
2479,Europe,Albania,2020-03-08,0.0,2842318.0
2486,Europe,Albania,2020-03-15,1.0,2842318.0
2493,Europe,Albania,2020-03-22,1.0,2842318.0
2500,Europe,Albania,2020-03-29,6.0,2842318.0
2507,Europe,Albania,2020-04-05,9.0,2842318.0
2514,Europe,Albania,2020-04-12,6.0,2842318.0
2521,Europe,Albania,2020-04-19,3.0,2842318.0
2528,Europe,Albania,2020-04-26,1.0,2842318.0
2535,Europe,Albania,2020-05-03,4.0,2842318.0
2542,Europe,Albania,2020-05-10,0.0,2842318.0
2549,Europe,Albania,2020-05-17,0.0,2842318.0
2556,Europe,Albania,2020-05-24,0.0,2842318.0
2563,Europe,Albania,2020-05-31,2.0,2842318.0
2570,Europe,Albania,2020-06-07,0.0,2842318.0
2577,Europe,Albania,2020-06-14,3.0,2842318.0
2584,Europe,Albania,2020-06-21,6.0,2842318.0
2591,Europe,Albania,2020-06-28,9.0,2842318.0
2598,Europe,Albania,2020-07-05,21.0,2842318.0
2605,Europe,Albania,2020-07-12,13.0,2842318.0
2612,Europe,Albania,2020-07-19,22.0,2842318.0
2619,Europe,Albania,2020-07-26,21.0,2842318.0
2626,Europe,Albania,2020-08-02,29.0,2842318.0
2633,Europe,Albania,2020-08-09,32.0,2842318.0
2640,Europe,Albania,2020-08-16,30.0,2842318.0
2647,Europe,Albania,2020-08-23,21.0,2842318.0
2654,Europe,Albania,2020-08-30,31.0,2842318.0
2661,Europe,Albania,2020-09-06,35.0,2842318.0
2668,Europe,Albania,2020-09-13,21.0,2842318.0
2675,Europe,Albania,2020-09-20,26.0,2842318.0
2682,Europe,Albania,2020-09-27,20.0,2842318.0
2689,Europe,Albania,2020-10-04,16.0,2842318.0
2696,Europe,Albania,2020-10-11,24.0,2842318.0
2703,Europe,Albania,2020-10-18,30.0,2842318.0
2710,Europe,Albania,2020-10-25,26.0,2842318.0
2717,Europe,Albania,2020-11-01,33.0,2842318.0
2724,Europe,Albania,2020-11-08,47.0,2842318.0
2731,Europe,Albania,2020-11-15,56.0,2842318.0
2738,Europe,Albania,2020-11-22,67.0,2842318.0
2745,Europe,Albania,2020-11-29,99.0,2842318.0
2752,Europe,Albania,2020-12-06,99.0,2842318.0
2759,Europe,Albania,2020-12-13,107.0,2842318.0
2766,Europe,Albania,2020-12-20,89.0,2842318.0
2773,Europe,Albania,2020-12-27,68.0,2842318.0
2780,Europe,Albania,2021-01-03,52.0,2842318.0
2787,Europe,Albania,2021-01-10,44.0,2842318.0
2794,Europe,Albania,2021-01-17,35.0,2842318.0
2801,Europe,Albania,2021-01-24,38.0,2842318.0
2808,Europe,Albania,2021-01-31,55.0,2842318.0
2815,Europe,Albania,2021-02-07,75.0,2842318.0
2822,Europe,Albania,2021-02-14,98.0,2842318.0
2829,Europe,Albania,2021-02-21,105.0,2842318.0
2836,Europe,Albania,2021-02-28,120.0,2842318.0
2843,Europe,Albania,2021-03-07,141.0,2842318.0
