,continent,location,date_cases,total_cases,date_deaths,total_deaths,population
0,Asia,Afghanistan,2023-12-31,230290.0,2023-12-31,7973.0,41128772.0
1,Europe,Albania,2023-12-17,334555.0,2023-04-09,3604.0,2842318.0
2,Africa,Algeria,2023-12-03,272010.0,2022-10-09,6881.0,44903228.0
3,Oceania,American Samoa,2023-09-17,8359.0,2022-08-28,34.0,44295.0
4,Europe,Andorra,2023-05-07,48015.0,2023-01-08,159.0,79843.0
5,Africa,Angola,2023-12-24,106720.0,2023-12-03,1937.0,35588996.0
6,North America,Anguilla,2022-12-04,3904.0,2022-09-11,12.0,15877.0
7,North America,Antigua and Barbuda,2022-10-09,9106.0,2022-09-25,146.0,93772.0
8,South America,Argentina,2023-12-24,10075242.0,2023-12-24,130687.0,45510324.0
9,Asia,Armenia,2023-12-10,451353.0,2023-12-10,8771.0,2780472.0
10,North America,Aruba,2023-07-02,44224.0,2023-07-02,292.0,106459.0
11,Oceania,Australia,2023-12-24,11710216.0,2023-12-24,24087.0,26177410.0
12,Europe,Austria,2023-07-02,6081287.0,2023-06-25,22534.0,8939617.0
13,Asia,Azerbaijan,2023-12-17,834183.0,2023-10-22,10353.0,10358078.0
14,North America,Bahamas,2023-04-23,38084.0,2023-04-16,844.0,409989.0
15,Asia,Bahrain,2022-12-04,696614.0,2022-11-27,1536.0,1472237.0
16,Asia,Bangladesh,2023-12-31,2046256.0,2023-09-03,29477.0,171186368.0
17,North America,Barbados,2023-12-24,110153.0,2023-05-14,593.0,281646.0
18,Europe,Belarus,2022-07-03,994037.0,2022-07-03,7118.0,9534956.0
19,Europe,Belgium,2023-12-17,4841934.0,2023-07-02,34339.0,11655923.0
20,North America,Belize,2023-09-24,71373.0,2022-11-27,688.0,405285.0
21,Africa,Benin,2023-09-24,28036.0,2022-01-23,163.0,13352864.0
22,North America,Bermuda,2023-04-09,18860.0,2023-04-09,165.0,64207.0
23,Asia,Bhutan,2023-08-27,62697.0,2022-05-01,21.0,782457.0
24,South America,Bolivia,2023-12-31,1211716.0,2023-10-29,22385.0,12224114.0
25,North America,Bonaire Sint Eustatius and Saba,2023-07-09,11922.0,2023-01-08,41.0,27052.0
26,Europe,Bosnia and Herzegovina,2023-12-17,403468.0,2023-12-17,16378.0,3233530.0
27,Africa,Botswana,2023-12-17,330417.0,2023-07-30,2800.0,2630300.0
28,South America,Brazil,2023-10-01,37519960.0,2023-05-14,702116.0,215313504.0
29,North America,British Virgin Islands,2023-10-15,7392.0,2022-09-04,64.0,31332.0
30,Asia,Brunei,2023-12-31,330776.0,2023-12-31,171.0,449002.0
31,Europe,Bulgaria,2023-12-17,1321120.0,2023-12-17,38613.0,6781955.0
32,Africa,Burkina Faso,2023-12-17,22109.0,2023-12-10,400.0,22673764.0
33,Africa,Burundi,2023-12-24,54455.0,2022-02-06,15.0,12889583.0
34,Asia,Cambodia,2023-12-31,139014.0,2022-04-24,3056.0,16767851.0
35,Africa,Cameroon,2023-12-10,125137.0,2023-06-11,1974.0,27914542.0
36,North America,Canada,2023-12-24,4750768.0,2023-12-17,53595.0,38454328.0
37,Africa,Cape Verde,2023-10-29,64474.0,2023-10-01,416.0,593162.0
38,North America,Cayman Islands,2022-12-18,31472.0,2022-12-18,37.0,68722.0
39,Africa,Central African Republic,2023-12-03,15440.0,2022-02-13,113.0,5579148.0
40,Africa,Chad,2023-04-30,7698.0,2022-10-30,194.0,17723312.0
41,South America,Chile,2023-12-24,5329103.0,2023-03-26,64482.0,19603736.0
